shape,rid,role,text,name,note,processor_flagged
"H4 ""="" variant pair","A01175","headword","אִידְרְעָא = אֶדְרְעָא","אִידְרְעָא = אֶדְרְעָא","","true"
"H4 ""="" variant pair","A01345","headword","אִימְנוֹן = הִמְנוֹן","אִימְנוֹן = הִמְנוֹן","","true"
"H5 ellipsis fragment — settled: HW-ellipsis — an ellipsis ending is a partial form","J00288","alt","… דַי","יְחִידִי²","","false"
"H5 ellipsis fragment — settled: HW-ellipsis — an ellipsis ending is a partial form","K00798","alt","… יהִים","כְּמֵיהוֹת","","false"
"H5 ellipsis fragment — settled: HW-ellipsis — an ellipsis ending is a partial form","K00798","alt","… יהִין","כְּמֵיהוֹת","","false"
"H5 ellipsis fragment — settled: HW-ellipsis — an ellipsis ending is a partial form","M00297","alt","… תָּה","מְדִינְתָּא","","false"
"H5 ellipsis fragment — settled: HW-ellipsis — an ellipsis ending is a partial form","M00997","alt","… סָה","מְטַכְסָא","","false"
"H5 ellipsis fragment — settled: HW-ellipsis — an ellipsis ending is a partial form","N01089","alt","… יָיה","נִפְתִּי","","false"
"H5 ellipsis fragment — settled: HW-ellipsis — an ellipsis ending is a partial form","O00394","alt","… טָה","סוֹפִיסְטָא","","false"
"H5 ellipsis fragment — settled: HW-ellipsis — an ellipsis ending is a partial form","S00469","alt","ק … טִינֵי","קוּסְטַנְטִינָא","","false"
"H6 multi-word","A00116","alt","בַּר אַבְיוּ","אַבְיוּ","phrase containing headword","false"
"H6 multi-word","A00121","alt","בֵּי אֶבְיוֹנֵי","*אֶבְיוֹנֵי","phrase containing headword","false"
"H6 multi-word","A00148","alt","אַבְיַת ישימון","אַבְיַת","phrase containing headword","false"
"H6 multi-word","A00434","alt","אַדְנֵי הַשָּׂדֶה","אַדְנֵי","phrase containing headword","false"
"H6 multi-word","A00436","headword","אדני מריונים","אדני מריונים","other phrase","false"
"H6 multi-word","A00720","alt","נקיס אונא","*אונא","phrase containing headword","false"
"H6 multi-word","A00732","alt","אוֹנוֹס קִטְמִין","אוֹנוֹס","phrase containing headword","false"
"H6 multi-word","A00742","alt","בית אוּנְיָיקִי","אוּנְיָיקִי","phrase containing headword","false"
"H6 multi-word","A01035","alt","כְּפַר אַחִים","אַחִים","phrase containing headword","false"
"H6 multi-word","A01126","alt","כפר איבּוּס","*איבּוּס","phrase containing headword","false"
"H6 multi-word","A01161","alt","אַיְידָא אֵידָא","אֵידֵין","other phrase","false"
"H6 multi-word","A01479","alt","קומיס איספיסריאון","*איספיסריאון","phrase containing headword","false"
"H6 multi-word","A01674","alt","כפר אִכּוּם","אִכּוּם","phrase containing headword","false"
"H6 multi-word","A01741","alt","אכסניי פרכא","*אכסניי","phrase containing headword","false"
"H6 multi-word","A01881","headword","בֵּי אֱלִישָׁפָט","בֵּי אֱלִישָׁפָט","other phrase","false"
"H6 multi-word","A02002","headword","כְּפַר א׳ אָמוּס","*כְּפַר א׳ אָמוּס","abbrev+word","false"
"H6 multi-word","A02006","alt","בר אמוראי","אמוראי","phrase containing headword","false"
"H6 multi-word","A02120","alt","בַּר אַנְדְּרַאי","אַנְדְּרַאי","phrase containing headword","false"
"H6 multi-word","A02160","alt","בית אַנְטְבִילָא","אַנְטְבִילָא","phrase containing headword","false"
"H6 multi-word","A02666","alt","אפי בלסמון","אפי","phrase containing headword","false"
"H6 multi-word","A02694","alt","סָר אָפִיס","*אָפִיס","phrase containing headword","false"
"H6 multi-word","A02734","alt","קרן אָפֵל","אָפֵל II","phrase containing headword","false"
"H6 multi-word","A02892","alt","אֹצְרוֹת רוח","אֹצְרוֹת","phrase containing headword","false"
"H6 multi-word","A03073","alt","ארטל ליפרן","ארטל","phrase containing headword","false"
"H6 multi-word","A03391","alt","א״ת ב״ש","א״ת","phrase containing headword","false"
"H6 multi-word","B00050","alt","בַּב נַהֲרָא","בָּב II","phrase containing headword","false"
"H6 multi-word","B00071","alt","בֶּן בַּג בַּג","בַּג","phrase containing headword","false"
"H6 multi-word","B00322","alt","בֵּית בּוּקְיָא","בּוּקְיָא","phrase containing headword","false"
"H6 multi-word","B00379","alt","נהר בּוּרְנִיץ","*בּוּרְנִיץ","phrase containing headword","false"
"H6 multi-word","B00442","alt","בֵּי זְיוּנָא","בִּזְיוּנָא I","other phrase","false"
"H6 multi-word","B00442","alt","בֵּי זְיָינָא","בִּזְיוּנָא I","other phrase","false"
"H6 multi-word","B00506","alt","בֶּן בַּטִּיחַ","בַּטִּיחַ","phrase containing headword","false"
"H6 multi-word","B00531","alt","בֵּי בָּטְנִיתָא","*בָּטְנִיתָא","phrase containing headword","false"
"H6 multi-word","B00741","alt","כְּפַר בִּישׁ","בִּישׁ II","phrase containing headword","false"
"H6 multi-word","B00780","alt","בַּעַל בְּכִי","בְּכִי II","phrase containing headword","false"
"H6 multi-word","B00780","alt","עֵין בְּכִי","בְּכִי II","phrase containing headword","false"
"H6 multi-word","B00864","alt","בְּלִי מָה","בְּלִימָה","other phrase","false"
"H6 multi-word","B00874","alt","בֵּי בְּלִיעֵי","בְּלִיעֵי","phrase containing headword","false"
"H6 multi-word","B00922","alt","בית בַּלְתִּי","בַּלְתִּי","phrase containing headword","false"
"H6 multi-word","B00924","alt","סֵפֶר בְּמִדְבַּר","בְּמִדְבַּר","phrase containing headword","false"
"H6 multi-word","B01098","alt","עֲלֵי בְּצָלִים","בְּצָלִים","phrase containing headword","false"
"H6 multi-word","B01196","alt","בֵּי בָּרוּךְ","*בָּרוּךְ","phrase containing headword","false"
"H6 multi-word","B01209","alt","בְּרוֹר חַיִל","בְּרוֹר","phrase containing headword","false"
"H6 multi-word","B01209","alt","בְּרוֹר חֵיל","בְּרוֹר","phrase containing headword","false"
"H6 multi-word","B01235","alt","בֵּי בֵּרַי","בֵּרַי","phrase containing headword","false"
"H6 multi-word","B01271","alt","רם בָּרִין","*בָּרִין","phrase containing headword","false"
"H6 multi-word","B01281","alt","פילי בריש","*בריש","phrase containing headword","false"
"H6 multi-word","B01312","alt","בֵּי בַּרְצִיתָא","בַּרְצִיתָא","phrase containing headword","false"
"H6 multi-word","B01316","alt","בְּנֵי בְּרַק","בְּרַק II","phrase containing headword","false"
"H6 multi-word","B01340","alt","בְּרַת חווּרן","בְּרַת II","phrase containing headword","false"
"H6 multi-word","C00060","alt","כפר גבור חיל","גבור","phrase containing headword","false"
"H6 multi-word","C00063","alt","כפר גבוריא","גבוריא","phrase containing headword","false"
"H6 multi-word","C00078","alt","גַּבְיָא גילא","גַּבְיָא III","phrase containing headword","false"
"H6 multi-word","C00515","alt","בַּר גַּזָּא","גַּזָּא","phrase containing headword","false"
"H6 multi-word","C00517","headword","גזא דפטי","גזא דפטי","other phrase","false"
"H6 multi-word","C00667","alt","בר גִּיּוֹרֵי","גִּיּוֹרֵי","phrase containing headword","false"
"H6 multi-word","C00763","alt","גּיניאך טַעֲוָותָא","גּיניאך","phrase containing headword","false"
"H6 multi-word","C00851","alt","גלא קסינון","גלא","phrase containing headword","false"
"H6 multi-word","C01013","alt","בַּר גַּמְזָא","*גַּמְזָא","phrase containing headword","false"
"H6 multi-word","C01224","alt","ג״ר ד״ק","ג״ר","phrase containing headword","false"
"H6 multi-word","C01291","alt","בַּר גְּרוֹגְרוֹת","גְּרוֹגְרוֹת","phrase containing headword","false"
"H6 multi-word","C01358","alt","דינא דגְּרָמֵי","גְּרָמֵי","other phrase","false"
"H6 multi-word","D00004","alt","דא דא","דָּא II","two forms / reduplication","false"
"H6 multi-word","D00300","alt","דונה טיבה","דונה","phrase containing headword","false"
"H6 multi-word","D00644","alt","נהר דִּינוּר","דִּינוּר","phrase containing headword","false"
"H6 multi-word","D00830","alt","בר דליא","דליא","phrase containing headword","false"
"H6 multi-word","D00983","alt","דצ״ך עד״ש באח״ב","דצ״ך","phrase containing headword","false"
"H6 multi-word","D01080","alt","בֵּי דָ׳","דָּרֵי","abbrev+word","false"
"H6 multi-word","E00007","alt","הֵא הֵא","הֵא II","two forms / reduplication","false"
"H6 multi-word","E00032","alt","בַּר חָבוּ","הָבוּ","other phrase","false"
"H6 multi-word","E00114","alt","בַּר הֲדָיָא","הֲדָיָא II","phrase containing headword","false"
"H6 multi-word","E00114","alt","בֶּן הֲדָיָא","הֲדָיָא II","phrase containing headword","false"
"H6 multi-word","E00295","alt","הז״יו ל״ך","הז״יו","phrase containing headword","false"
"H6 multi-word","E00456","alt","בית הִינוּ","הִינוּ","phrase containing headword","false"
"H6 multi-word","E00590","alt","בֵּית הַמְגַּנְיָא","הַמְגַּנְיָא","phrase containing headword","false"
"H6 multi-word","E00592","alt","בַּר הַמְדּוּדֵי","הַמְדּוּדֵי","phrase containing headword","false"
"H6 multi-word","E00593","alt","בר הַמְדּוּרֵי","הַמְדּוּרֵי","phrase containing headword","false"
"H6 multi-word","E00654","alt","בַּר הֵנַג","הֵנַג","phrase containing headword","false"
"H6 multi-word","F00006","alt","וְאֵלֶּה שְׁמוֹת","וְאֵלֶּה","phrase containing headword","false"
"H6 multi-word","F00058","alt","ווֵול שָׁפָט","וֵול","other phrase","false"
"H6 multi-word","G00014","alt","בֵּית זַבְדִּין","זַבְדִּין","phrase containing headword","false"
"H6 multi-word","G00188","alt","זומי ליסטרא","זומי","phrase containing headword","false"
"H6 multi-word","G00188","alt","זומי לסטרון","זומי","phrase containing headword","false"
"H6 multi-word","G00325","alt","בַּר זִיזָא","זִיזָא III","phrase containing headword","false"
"H6 multi-word","G00676","alt","מֶלַח דְּזַרְוַאי","*זַרְוַאי","other phrase","false"
"H6 multi-word","H00065","alt","חֲבֵיל יַמָּא","חֲבֵיל²","phrase containing headword","false"
"H6 multi-word","H00181","alt","בית חֲדוּדוּ","חֲדוּדוּ","phrase containing headword","false"
"H6 multi-word","H00247","alt","בַּר׳ ח׳","חוּבָּץ I","abbrev+word","false"
"H6 multi-word","H00285","alt","בֵּי חוֹזָאֵי","חוֹזָאֵי","phrase containing headword","false"
"H6 multi-word","H00379","alt","חוֹמֶס סוּבְנִי","חוֹמֶס","phrase containing headword","false"
"H6 multi-word","H00464","alt","בֵּית חוֹרוֹן","חוֹרוֹן","phrase containing headword","false"
"H6 multi-word","H00535","alt","כְּפַר חֲזִיז","חֲזִיז II","phrase containing headword","false"
"H6 multi-word","H00622","alt","כפר חטיאה","חטיאה","phrase containing headword","false"
"H6 multi-word","H00632","alt","כפר חִטַּיָּיה","חִטַּיָּיה","phrase containing headword","false"
"H6 multi-word","H00711","alt","כְּפַר חִיטַּיָּיא","חִיטַּיָּיא","phrase containing headword","false"
"H6 multi-word","H00843","alt","בֵּית חֵיפָה","חֵיפָה I","phrase containing headword","false"
"H6 multi-word","H00880","alt","בַּר חִירְיָא","חִירְיָא","phrase containing headword","false"
"H6 multi-word","H01065","alt","חֲלִי קוּפְרִי","חֲלִיקוּפְרִי","other phrase","false"
"H6 multi-word","H01614","alt","כפר חֲרוּבָא","חֲרוּבָא²","phrase containing headword","false"
"H6 multi-word","H01657","alt","חַר חַר","חַרְחַר","two forms / reduplication","false"
"H6 multi-word","I00020","alt","עֵין טַב","טַב III","phrase containing headword","false"
"H6 multi-word","I00049","alt","כְּפַר טָבִי","טָבִי II","phrase containing headword","false"
"H6 multi-word","I00137","alt","טַוְורוֹס אוּמָנוֹס","טַוְורוֹס","phrase containing headword","false"
"H6 multi-word","I00158","headword","טְוִיָּיה טְוִיָּה","טְוִיָּיה טְוִיָּה","two forms / reduplication","false"
"H6 multi-word","I00212","alt","בקעת בית טוֹפֶת","*טוֹפֶת","phrase containing headword","false"
"H6 multi-word","I00241","alt","טוּרְנוֹס רופוס","טוּרְנוֹס","phrase containing headword","false"
"H6 multi-word","I00353","alt","טַיְיפָה סַמּוֹקָה","טַיְיפָה","phrase containing headword","false"
"H6 multi-word","I00535","alt","טמו ביריא","טמו","phrase containing headword","false"
"H6 multi-word","I00568","alt","טַן דּוּ","טַנְדּוּ","other phrase","false"
"H6 multi-word","I00654","headword","טְפֵילָה טְפֵילָא","טְפֵילָה טְפֵילָא","two forms / reduplication","false"
"H6 multi-word","I00722","alt","נחל טַרְוַויָּא","*טַרְוַויָּא","phrase containing headword","false"
"H6 multi-word","I00789","alt","טְרִיָיא קוֹנְטָא","טְרִיָיא","phrase containing headword","false"
"H6 multi-word","J00171","alt","ארכי יודקו","יודקו","phrase containing headword","false"
"H6 multi-word","J00184","alt","בַּר יוֹכָנִי","יוֹכָנִי","phrase containing headword","false"
"H6 multi-word","J00253","alt","כִּי יוּתָּן","יוּתָּן","phrase containing headword","false"
"H6 multi-word","J00432","alt","מַר יָנוּקָא","יָנוּקָא II","phrase containing headword","false"
"H6 multi-word","J00463","alt","יַיַסֵּי חֳלִי","*יַסֵּי","other phrase","false"
"H6 multi-word","J00464","alt","יסיח לי","יסיח","phrase containing headword","false"
"H6 multi-word","J00691","alt","בַּר יְשִׁיטָא","יְשִׁיטָא","phrase containing headword","false"
"H6 multi-word","K00013","alt","כְּאֵי צַד","כְּאֵי","phrase containing headword","false"
"H6 multi-word","K00107","headword","כִּדְ׳ כַּדְבוּבָא","כִּדְ׳ כַּדְבוּבָא","abbrev+word","false"
"H6 multi-word","K00115","alt","עינבין דכדום","כדום","other phrase","false"
"H6 multi-word","K00392","alt","אולו כורסון","כורסון","phrase containing headword","false"
"H6 multi-word","K00392","alt","אולון כורסון","כורסון","phrase containing headword","false"
"H6 multi-word","K00606","alt","בֵּי כֵּיפֵי","כֵּיפֵי","phrase containing headword","false"
"H6 multi-word","K00629","alt","כִּירַיָּא דבית סכל","כִּירַיָּא","phrase containing headword","false"
"H6 multi-word","K00699","alt","בֵּי כְּלוּחִית","כְּלוּחִית","phrase containing headword","false"
"H6 multi-word","K00851","alt","כַּנְיָא פַּרְוָוא","כַּנְיָא","phrase containing headword","false"
"H6 multi-word","K01170","alt","כְּרִיסוֹ אַרְגִּירָא","כְּרִיסוֹ","phrase containing headword","false"
"H6 multi-word","L00104","alt","עַרְקַת לִבְנָה","לִבְנָה","phrase containing headword","false"
"H6 multi-word","L00210","alt","לוודין דקין","לוודין","phrase containing headword","false"
"H6 multi-word","L00253","alt","בר לִוְיָאנוֹס","לִוְיָאנוֹס","phrase containing headword","false"
"H6 multi-word","L00306","alt","בר לוּפְיָינִי","לוּפְיָינִי","phrase containing headword","false"
"H6 multi-word","M00263","alt","מַדְוֵי חיוורא","מַדְוֵי","phrase containing headword","false"
"H6 multi-word","M00643","alt","הַר הַמּ׳","מוֹרִיָּה","abbrev+word","false"
"H6 multi-word","M00646","alt","שׁוּבְלַיָּיא מוֹרַיָּיא","מוֹרַיָּיא","phrase containing headword","false"
"H6 multi-word","M00687","alt","כְּרַךְ מוֹשְׁכִּי","מוֹשְׁכִּי","phrase containing headword","false"
"H6 multi-word","M00720","alt","מָזְגָּא חַמְרָא","מָזְגָּא²","phrase containing headword","false"
"H6 multi-word","M00910","alt","מָתָא מְחַסְיָא","מְחַסְיָא","phrase containing headword","false"
"H6 multi-word","M00943","alt","מְחַרְתָּא דְיַתִּיר","מְחַרְתָּא","phrase containing headword","false"
"H6 multi-word","M01181","alt","מילי מילה","מילי²","two forms / reduplication","false"
"H6 multi-word","M01234","alt","מִינְקַת חִיוְיָא","מִינְקַת","phrase containing headword","false"
"H6 multi-word","M01299","alt","מִירִי מִירְיָאדִין","מִירִי","two forms / reduplication","false"
"H6 multi-word","M01502","alt","בֵּית מִלְוָון","מִלְוָון","phrase containing headword","false"
"H6 multi-word","M01528","alt","מִגְּדַּל מַלְחָא","מַלְחָא","phrase containing headword","false"
"H6 multi-word","M01713","alt","כְּפַר מַנְדּוּ","מַנְדּוּ","phrase containing headword","false"
"H6 multi-word","M01752","alt","כפר מנורי","מנורי","phrase containing headword","false"
"H6 multi-word","M01768","alt","אֲרַע מִנִּי","מִנִּי","phrase containing headword","false"
"H6 multi-word","M02116","headword","מַעְיָינָא מַעְיָנָא","מַעְיָינָא מַעְיָנָא","two forms / reduplication","false"
"H6 multi-word","M02141","alt","מַעֲלַת מְרָא","מַעֲלַת","phrase containing headword","false"
"H6 multi-word","M02276","alt","פִּי מְצוּבָה","מְצוּבָה","phrase containing headword","false"
"H6 multi-word","M02405","alt","בֶּן מְקוֹשֵׁשׁ","מְקוֹשֵׁשׁ II","phrase containing headword","false"
"H6 multi-word","M02595","alt","בֵּית מָרוֹן","מָרוֹן II","phrase containing headword","false"
"H6 multi-word","M02868","alt","מְשֵׁיזְבָא מְשֵׁיזִיב","מְשֵׁיזֵב","two forms / reduplication","false"
"H6 multi-word","M02894","alt","בֵּי מְשָׁכָא","מְשָׁכָא","phrase containing headword","false"
"H6 multi-word","N00057","alt","נִבּוּר חַיִל","נִבּוּר","phrase containing headword","false"
"H6 multi-word","N00058","alt","כְּפַר נִבּוּרַיָּא","נִבּוּרַיָּא","phrase containing headword","false"
"H6 multi-word","N00496","alt","נחיתי ימא","נחיתי","phrase containing headword","false"
"H6 multi-word","N00541","alt","בַּר נָטוֹזָא","נָטוֹזָא","phrase containing headword","false"
"H6 multi-word","N00701","alt","הַר נִיסַּאי","נִיסַּאי","phrase containing headword","false"
"H6 multi-word","N00755","alt","בַּר נִיצוֹר","נִיצוֹר","phrase containing headword","false"
"H6 multi-word","N00811","alt","פַּרְעֹה נְכֹה","נְכֹה","phrase containing headword","false"
"H6 multi-word","N00892","alt","בֵּית נִמְרָה","נִמְרָה","phrase containing headword","false"
"H6 multi-word","N00928","alt","אתא נסיא","נסיא","phrase containing headword","false"
"H6 multi-word","N01061","alt","בַּר נִפְלֵי","נִפְלֵי","phrase containing headword","false"
"H6 multi-word","N01154","alt","נקאני קא","נקאני","phrase containing headword","false"
"H6 multi-word","N01211","alt","בֵּית נְקִיפֵי","נְקִיפֵי","phrase containing headword","false"
"H6 multi-word","N01212","alt","נְקִיפְתָּא דְעִיּוֹן","נְקִיפְתָּא","phrase containing headword","false"
"H6 multi-word","O00302","alt","סוּכּוֹת בְּנוֹת","סוּכּוֹת","phrase containing headword","false"
"H6 multi-word","O00308","alt","עֵין סוֹכֵר","סוֹכֵר","phrase containing headword","false"
"H6 multi-word","O00564","alt","כְּפַר סִיגְנָא","סִיגְנָא","phrase containing headword","false"
"H6 multi-word","O00695","alt","סִימוּנָא דְאַגְמָא","סִימוּנָא","phrase containing headword","false"
"H6 multi-word","O00713","alt","הַר סִימָנַאי","סִימָנַאי","phrase containing headword","false"
"H6 multi-word","O00746","alt","כְּפַר סִיסַאי","סִיסַאי","phrase containing headword","false"
"H6 multi-word","O00852","alt","בִּירַת סִירִיקָא","סִירִיקָא","phrase containing headword","false"
"H6 multi-word","O00889","alt","סֻכּוֹת בְּנוֹת","סֻכּוֹת","phrase containing headword","false"
"H6 multi-word","O00968","alt","בֵּית סַלּוּנִי","סַלּוּנִי","phrase containing headword","false"
"H6 multi-word","O01072","alt","אַבָּא סִמּוּקְיָד","סִמּוּקְיָד","phrase containing headword","false"
"H6 multi-word","O01089","alt","כפר סמיי","סמיי","phrase containing headword","false"
"H6 multi-word","O01232","alt","בַּר סַנִּיגוֹרָא","סַנִּיגוֹרָא","phrase containing headword","false"
"H6 multi-word","O01341","alt","כְּפַר סִפּוּרַיָּיא","סִפּוּרַיָּיא","phrase containing headword","false"
"H6 multi-word","O01509","alt","סָר אָפִיס","סָר²","phrase containing headword","false"
"H6 multi-word","O01626","alt","בִּירַת סָרִיקָא","סָרִיקָא","phrase containing headword","false"
"H6 multi-word","O01669","alt","סרק אני","סרק","phrase containing headword","false"
"H6 multi-word","P00137","headword","עָ׳ עַדְיָא","עָ׳ עַדְיָא","abbrev+word","false"
"H6 multi-word","P00353","alt","בֵּי עוֹרַבְתִּי","עוֹרַבְתִּי","phrase containing headword","false"
"H6 multi-word","P00381","alt","כְּפַר עַוְתָנַאי","עַוְתָנַאי","phrase containing headword","false"
"H6 multi-word","P00553","alt","עַיְינֵי טַב","עַיְינֵי","phrase containing headword","false"
"H6 multi-word","P00563","alt","כְּפַר עִיכּוּם","עִיכּוּם","phrase containing headword","false"
"H6 multi-word","P00869","alt","בְּנֵי עַמּוֹן","עַמּוֹן","phrase containing headword","false"
"H6 multi-word","P00890","alt","כְּפַר עֲמִיקוּ","עֲמִיקוּ","phrase containing headword","false"
"H6 multi-word","P00983","alt","עֲנִיָּה עֲנָתוֹת","עֲנִיָּה II","phrase containing headword","false"
"H6 multi-word","P00991","alt","כפר ענים","ענים","phrase containing headword","false"
"H6 multi-word","P01166","alt","בֶּן עָקוֹשׁ","*עָקוֹשׁ I","phrase containing headword","false"
"H6 multi-word","P01452","alt","עַרְקַת לִבְנָה","עַרְקַת","phrase containing headword","false"
"H6 multi-word","P01520","alt","בַּר עַשְׁתּוֹר","עַשְׁתּוֹר","phrase containing headword","false"
"H6 multi-word","Q00005","alt","בֵּית פָּאגֵי","פָּאגֵי","phrase containing headword","false"
"H6 multi-word","Q00053","alt","בֵּית פַּגֵּי","פַּגֵּי","phrase containing headword","false"
"H6 multi-word","Q00099","alt","כְּפַר פַּגָּשׁ","פַּגָּשׁ","phrase containing headword","false"
"H6 multi-word","Q00127","alt","קָקוֹ פְּדִיפְטֵי","*פְּדִיפְטֵי","phrase containing headword","false"
"H6 multi-word","Q00248","alt","פּוּם בְּדִיתָא","פּוּמְבְּדִיתָא","other phrase","false"
"H6 multi-word","Q00326","alt","בני פוקרים","פוקרים","phrase containing headword","false"
"H6 multi-word","Q00436","alt","פז״ר קש״ב","פז״ר","phrase containing headword","false"
"H6 multi-word","Q00494","alt","בַּר פַּטָּא","פַּטָּא","phrase containing headword","false"
"H6 multi-word","Q00650","alt","בַּר פְּיָילִי","פְּיָילִי II","phrase containing headword","false"
"H6 multi-word","Q00697","alt","פיליא ביארי","פיליא","phrase containing headword","false"
"H6 multi-word","Q00798","alt","בר פִּיקָא","פִּיקָא³","phrase containing headword","false"
"H6 multi-word","Q00980","alt","פלומי פילון","פלומי","phrase containing headword","false"
"H6 multi-word","Q01039","alt","פַּלְיָא בֵיאָרִי","פַּלְיָא","phrase containing headword","false"
"H6 multi-word","Q01044","alt","טוּרָא פְּלִיגָא","פְּלִיגָא II","phrase containing headword","false"
"H6 multi-word","Q01335","alt","בִּקְעַת פַּסְלָן","*פַּסְלָן","phrase containing headword","false"
"H6 multi-word","Q01377","alt","בַּעַל פְּעוֹר","פְּעוֹר","phrase containing headword","false"
"H6 multi-word","Q01399","alt","נְהַר פּ׳","פַּפָּא II","abbrev+word","false"
"H6 multi-word","Q01492","alt","כְּפַר פְּקִיעִין","פְּקִיעִין","phrase containing headword","false"
"H6 multi-word","Q01751","alt","טַוַּור פַּרְזְלָא","פַּרְזְלָא II","phrase containing headword","false"
"H6 multi-word","R00066","alt","מַגְדַּל צַבָּעַיָּא","צַבָּעַיָּא","phrase containing headword","false"
"H6 multi-word","R00066","alt","מַגְדְּלָא דצַבָּעַיָּא","צַבָּעַיָּא","other phrase","false"
"H6 multi-word","R00193","alt","בֵּית צוּלָאֵי","צוּלָאֵי","phrase containing headword","false"
"H6 multi-word","R00478","alt","בֵּית צַלָּאֵי","צַלָּאֵי","phrase containing headword","false"
"H6 multi-word","R00569","alt","כְּפַר צֶמַח","צֶמַח III","phrase containing headword","false"
"H6 multi-word","R00577","alt","צַמְיָיא קַיְיטָא","צַמְיָיא","phrase containing headword","false"
"H6 multi-word","R00593","alt","צמר מורייה","צמר","phrase containing headword","false"
"H6 multi-word","R00593","alt","צמר מורין","צמר","phrase containing headword","false"
"H6 multi-word","R00738","alt","רוּחַ צְרָדָא","צְרָדָא II","phrase containing headword","false"
"H6 multi-word","S00197","alt","קַדַשׁ נוּנָא","קַדַשׁ","phrase containing headword","false"
"H6 multi-word","S00237","alt","קוֹבְעַיָּא דְעַיְיתָא","קוֹבְעַיָּא","phrase containing headword","false"
"H6 multi-word","S00350","alt","קולמז מסיא","קולמז","phrase containing headword","false"
"H6 multi-word","S00352","alt","קולמן מסיא","קולמן","phrase containing headword","false"
"H6 multi-word","S00493","alt","בֵּי קוּפָּאֵי","קוּפָּאֵי","phrase containing headword","false"
"H6 multi-word","S00493","alt","בֵּית קוּפָּאֵי","קוּפָּאֵי","phrase containing headword","false"
"H6 multi-word","S00675","alt","בֵּית קוֹשֵׁשׁ","קוֹשֵׁשׁ","phrase containing headword","false"
"H6 multi-word","S00728","alt","כל קטורין","קטורין","phrase containing headword","false"
"H6 multi-word","S00900","alt","בֶּן קִיטּוּנְתָּא","קִיטּוּנְתָּא","phrase containing headword","false"
